model,latent,back-att,obj-att,obj-size,robot-ratio,loss-ratio,loss,psnr,val-loss,val-psnr,avg-iou,std-iou,avg-minRB,std-minRB
1,64,0.02,0.98,4.0,49.00,0.45,107.722969,7.01,139.707855,7.59,0.12302,0.03513,0.27404,0.05024
1,64,0.02,0.98,2.0,49.00,0.90,48.180882,5.62,81.400777,5.54,0.01684,0.00256,0.04418,0.00274
1,4,0.02,0.98,2.0,49.00,0.90,18.211972,5.54,69.024802,5.40,0.01594,0.00243,0.04181,0.00256
1,64,0.02,0.98,1.0,49.00,1.81,34.880335,6.58,35.726965,6.59,0.00608,0.00189,0.01448,0.00308
1,16,0.02,0.98,1.0,49.00,1.81,10.886366,6.51,11.078711,6.67,0.00658,0.00192,0.01536,0.00344
1,4,0.02,0.98,1.0,49.00,1.81,4.898307,6.46,9.034775,6.60,0.00568,0.00154,0.01393,0.00271
0,64,0.02,0.98,4.0,49.00,0.45,0.006386,9.17,0.008212,9.99,0.18573,0.01653,0.35972,0.03919
1,16,0.02,0.98,4.0,49.00,0.45,92.767745,6.84,131.523006,7.22,0.10467,0.02289,0.24571,0.03728
0,4,0.02,0.98,4.0,49.00,0.45,0.009774,6.53,0.015157,5.96,0.03520,0.00805,0.16719,0.02189
0,64,0.02,0.98,4.0,49.00,0.45,0.006732,7.96,0.014263,8.14,0.17204,0.01266,0.37184,0.02343
0,16,0.02,0.98,4.0,49.00,0.45,0.006394,7.26,0.015449,6.93,0.07617,0.01347,0.14874,0.01488
0,4,0.02,0.98,4.0,49.00,0.45,0.005687,6.29,0.021613,6.08,0.07484,0.01372,0.16012,0.01700
0,64,0.02,0.98,3.0,49.00,0.60,0.002401,6.20,0.005942,6.82,0.13171,0.01406,0.18283,0.01675
0,16,0.02,0.98,3.0,49.00,0.60,0.002737,6.06,0.002284,6.29,0.06181,0.00795,0.10884,0.01071
0,4,0.02,0.98,3.0,49.00,0.60,0.003914,5.83,0.007228,5.91,0.02423,0.00220,0.08280,0.00669
0,64,0.02,0.98,2.0,49.00,0.90,0.000656,5.71,0.003967,5.68,0.02991,0.00278,0.03944,0.00244
0,16,0.02,0.98,2.0,49.00,0.90,0.000795,5.58,0.000784,5.38,0.02439,0.00259,0.04033,0.00197
0,4,0.02,0.98,2.0,49.00,0.90,0.001343,5.57,0.001391,5.39,0.01619,0.00099,0.04292,0.00208
0,64,0.02,0.98,1.0,49.00,1.81,0.000142,8.01,0.000264,8.38,0.03596,0.00767,0.06102,0.00945
0,16,0.02,0.98,1.0,49.00,1.81,0.000237,6.45,0.000225,6.49,0.00477,0.00102,0.01078,0.00159
0,4,0.02,0.98,1.0,49.00,1.81,0.000234,6.55,0.000219,6.79,0.00797,0.00201,0.01874,0.00241
1,16,0.02,0.98,2.0,49.00,0.90,24.172469,5.57,77.725765,5.51,0.01681,0.00250,0.04399,0.00266
0,16,0.02,0.98,4.0,49.00,0.45,0.007081,8.53,0.008211,9.28,0.18230,0.02865,0.35819,0.04861
1,16,0.02,0.98,3.0,49.00,0.60,47.357562,5.87,161.952113,6.08,0.05156,0.00944,0.09968,0.01183
1,64,0.02,0.98,3.0,49.00,0.60,70.129631,5.93,176.129306,5.97,0.04768,0.00815,0.08966,0.00891
1,4,0.02,0.98,3.0,49.00,0.60,48.779595,5.69,129.757974,5.59,0.03101,0.00485,0.09547,0.00944
1,4,0.02,0.98,4.0,49.00,0.45,88.368329,6.86,138.009464,7.32,0.11119,0.02696,0.25889,0.04049
0,16,0.06,0.94,2.0,15.67,2.83,0.001420,7.49,0.001350,7.92,0.06618,0.01265,0.10859,0.02016
1,16,0.06,0.94,4.0,15.67,1.41,88.701383,7.91,110.057784,8.97,0.11980,0.03595,0.27631,0.05262
0,4,0.06,0.94,2.0,15.67,2.83,0.002003,6.61,0.002233,6.88,0.02371,0.00462,0.08515,0.00439
1,64,0.06,0.94,1.0,15.67,5.65,39.893509,10.69,39.745862,10.81,0.46851,0.05488,0.48282,0.05298
1,16,0.06,0.94,1.0,15.67,5.65,15.923012,10.67,15.704462,10.87,0.45065,0.06031,0.47826,0.05816
1,4,0.06,0.94,1.0,15.67,5.65,9.921794,10.66,9.749319,10.83,0.43367,0.06025,0.47953,0.05674
0,64,0.06,0.94,2.0,15.67,2.83,0.001366,7.95,0.001213,8.37,0.17573,0.02171,0.25357,0.02203
1,4,0.06,0.94,4.0,15.67,1.41,90.224456,7.50,151.747952,7.73,0.09993,0.02195,0.25215,0.03624
0,4,0.06,0.94,3.0,15.67,1.88,0.004390,6.22,0.004182,6.50,0.03409,0.00273,0.12184,0.00796
0,16,0.06,0.94,3.0,15.67,1.88,0.003310,6.57,0.010412,6.46,0.06953,0.01587,0.13077,0.02468
0,64,0.06,0.94,3.0,15.67,1.88,0.003221,7.55,0.003291,7.79,0.23147,0.01458,0.31998,0.01203
